from,to,w
0,1,25.337465830450626
0,613,1
1,0,1.195626722135257
1,2,1.0390078090888775
1,772,1.0028365221818716
1,3186,1
1,5988,1
1,7969,1
1,8015,1
1,8949,1
1,9851,1
2,1,3.024049231506108
2,3,2.446386391600661
2,312,1
2,420,1.1327227470140184
2,1528,1
2,1651,1
2,2277,1
2,2508,1
2,2829,1
2,3004,1
2,3457,1
2,3591,1.2441528553840062
2,4019,1
2,4308,1
2,4382,1
2,4852,1
2,5171,1
2,5542,1
2,5551,1
2,5934,1
2,5985,1
2,6281,1
2,6498,1
2,6924,1
2,7218,1
3,2,7.214572135335085
3,4,1.522243709215164
3,312,1.5573235553061366
3,1317,1
3,3020,1
3,3970,1
3,4286,1
3,4560,1
3,5231,1
3,5466,1
3,6802,1
4,3,1.0602244815650455
4,5,1.170124917898541
4,4019,1
4,4308,1
4,4852,1
4,5542,1
4,6281,1
4,6924,1
4,7969,1
4,9851,1
5,4,2.0705048787722515
5,6,1
5,3020,1
5,8015,1
6,5,1
6,7,1
6,208,1.1727781623052067
6,291,1
6,739,1
6,4308,1
6,6358,1
6,9851,1
7,6,1
7,8,1.5797200566725573
7,4308,1
8,7,1.0479643477671428
8,9,1.0438913345504635
9,8,1.4513656530868282
9,10,1
9,257,1
9,4308,1
10,9,1
10,11,1
11,10,1
11,12,1.0410770519450716
12,11,1.1200582120775497
12,13,1.1200582120775497
13,12,1.4406760609942748
13,14,1
14,13,1
14,15,2.4296699892332243
14,697,1
15,14,1.426426009334658
15,16,1.2904745901698418
15,220,5.97663834847865
15,353,1.6255888235574962
15,620,1.1283458727051503
15,715,1
15,834,1
15,1189,1
15,1694,1
15,5478,1
15,6166,1
16,15,1.9587507737381962
16,17,1.5393441623812083
16,549,1.2553076274135901
16,642,1
16,6451,1
16,8583,1
16,9029,1
17,16,1.1541199402478834
17,18,1
17,231,1
17,254,1
17,1556,1
17,8557,1
18,17,1
18,19,1.4264211998626581
19,18,1.5154037228862638
19,20,1
19,478,1
20,19,1
20,21,1.0552156267371637
21,20,1.5653182741216325
21,22,1
21,257,1.9800355396636375
21,719,1
21,918,1
21,1529,1
21,1574,1
21,3929,1
21,6269,1
21,7171,1
22,21,1
22,23,1.0071244253408538
23,22,2.1130835924082674
23,24,1.5381557492331859
24,23,1.2518116341211931
24,25,1.2020148356522717
25,24,1.2992026607293263
25,26,1.3076329158788016
26,25,1.2538201095865962
26,27,1.5440664686635066
26,231,1
26,259,1.2269101233709567
26,353,1
26,425,1
26,828,1
26,2429,1.1594439322041878
26,7697,1
27,26,1.1961792889155205
27,28,1.4149878122576593
28,27,1.770122240406277
28,29,2.0008887645280984
28,218,1.6273337992534596
28,1341,1
29,28,2.4192339411122736
29,30,1.7443442013899535
29,462,1
30,29,1.5013773702840374
30,31,1.2671346050388956
31,30,1.5800257505352033
31,32,1
31,1771,1
32,31,1
32,33,1.827549432993047
33,32,2.7571275261375243
33,34,2.227216910139461
33,8619,1
34,33,1.569173188791064
34,35,1
35,34,1
35,36,1.6601107752136275
36,35,1.6290895786715835
36,37,1
37,36,1
37,38,1.3439408719935841
38,37,1.0508941452080662
38,39,1
39,38,1
