from,to,w
0,1,57.15377361312112
0,26,1
0,40,6.146088868924737
0,82,2.0010486091712574
0,841,1
0,3825,1
0,4046,1
0,6261,1
1,0,58.04054143124426
1,2,27.490176574869498
1,30,7.7553276157125115
1,585,1.2043924111032338
1,645,1.3669407968502756
1,972,1
1,976,1
1,1057,1
1,1227,1
1,1328,1
1,2445,1
1,2847,1
1,2878,1.1747457857979697
1,2885,1
1,2957,1
1,3226,1
1,3484,1
1,3573,1.1751934952313432
1,4691,1
1,4912,1
1,5365,1
1,5975,1
1,6183,1
1,7162,1
1,8205,1
1,8552,1
1,8733,1
1,9105,1
2,1,39.857397980504
2,3,16.532751837250164
2,13,78.63259089061941
2,61,3.2343781733588637
2,79,3.7067704856476515
2,88,1
2,89,6.837307126454835
2,105,1.7474652148831151
2,240,1.8025613536736564
2,249,1.3625625094995057
2,286,1.4361860805432753
2,291,1.3412116351106094
2,298,1
2,340,1.6309479999971936
2,362,1
2,381,1
2,487,1
2,535,1
2,678,1
2,749,1
2,750,1
2,753,1.3390361752429492
2,760,2.1603775746293206
2,772,1
2,811,1
2,867,1
2,908,1.247999780643692
2,973,1
2,979,1
2,1006,1
2,1016,1
2,1036,1
2,1135,1
2,1150,1
2,1169,1
2,1174,1
2,1230,1
2,1284,1
2,1306,1
2,1314,1
2,1351,1
2,1391,1
2,1396,1
2,1471,1
2,1523,1
2,1535,1
2,1612,1.2559087263329571
2,1648,1
2,1756,1
2,1882,1
2,1924,1
2,2012,1
2,2014,1
2,2067,1
2,2145,1.4188180409021494
2,2240,1.3412116351106094
2,2291,1
2,2331,1
2,2389,1
2,2438,1
2,2514,1
2,2698,1
2,2705,1
2,2753,1
2,2795,1
2,2815,1
2,2868,1
2,2923,1
2,2927,1
2,2932,1
2,2960,1
2,2993,1
2,3092,1
2,3097,1.3393666478817576
2,3151,1
2,3262,1
2,3378,1
2,3584,1
2,3607,1
2,3695,1
2,3764,1
2,3880,1
2,4017,1
2,4054,1
2,4306,1
2,4353,1
2,4574,1
2,4596,1
2,4617,1
2,5185,1
2,5269,1
2,5479,1
2,5798,1
2,5844,1
2,6105,1
2,6120,1
2,6189,1
2,6292,1
2,6505,1
2,6519,1
2,7076,1
2,7331,1
2,7448,1
2,7765,1
2,7778,1
2,7985,1
2,8233,1
2,8382,1
2,8720,1
2,8839,1
2,8845,1
2,8982,1
2,9043,1
2,9272,1
2,9446,1
2,9506,1
2,9618,1
2,9919,1
2,9996,1
3,2,15.941371944269587
3,4,17.18299585671108
3,16,9.873992283041192
3,72,1
3,118,1.872093398807848
3,131,2.069729105041395
3,152,1.7765233965207368
3,153,1.5423997512674283
3,189,2.0867870583685075
3,649,1
3,682,1
3,697,1
3,698,2.0466413024413974
3,735,1
3,748,1.2963635634552677
3,924,1
3,977,1
3,1086,1.7835711621064676
3,1162,1.2568484216612321
3,1351,1
3,1391,1
3,1441,1
3,1631,1.288954474368886
3,1698,1
3,1945,1
3,1962,1
3,1968,1
3,1987,1
3,2000,1
3,2058,1
3,2072,1
3,2137,1.2838817477106335
3,2195,1
3,2266,1
3,2375,1
3,2416,1
3,2483,1
3,2556,1
3,3163,1
3,3246,1
3,3276,1
3,3279,1
3,3349,1
3,3600,1
3,3663,1
3,3774,1
3,3974,1
3,4056,1
3,4072,1
3,4189,1
3,4240,1
3,4289,1
3,4435,1
3,4480,1
3,4542,1
3,4654,1
3,4660,1
3,4700,1
3,4974,1
3,5350,1
3,5365,1
3,5492,1
3,5640,1
3,5861,1
3,5877,1
3,5985,1
3,6228,1
3,6272,1
3,6478,1
3,6491,1
3,6552,1
3,6872,1
3,6897,1
3,6960,1
3,7063,1
3,7102,1
3,7261,1
3,7292,1
3,7563,1
3,7616,1
3,7746,1
3,7780,1
3,8142,1
3,8211,1
3,8375,1
3,8457,1
3,8611,1
3,8678,1
3,8705,1
3,8938,1
3,8986,1
3,9148,1
3,9233,1
3,9303,1
3,9424,1
3,9548,1
3,9630,1
3,9825,1
3,9907,1
3,9955,1
4,3,4.873938399522204
4,249,1.1166121209600242
4,362,1
4,487,1
4,500,1
4,535,1
4,678,1
4,867,1
4,1016,1
4,1094,1
4,1150,1
4,1174,1
4,1230,1
4,1284,1
4,1471,1
4,1525,1
4,2291,1
4,2514,1
4,2928,1
4,2947,1
4,3092,1
4,3151,1
4,3169,1
4,3475,1
4,3675,1
4,3695,1
4,4037,1
4,4240,1
4,4542,1
4,5101,1
4,5290,1
4,5492,1
4,5877,1
4,6294,1
4,6356,1
4,6476,1
4,7063,1
4,7292,1
4,8140,1
4,8155,1
4,8775,1
4,9671,1
4,9817,1
5,2,1.6056377965928625
5,0,1.7918121199308326
5,12,1.204721833801547
5,32,1.0348307645320152
5,53,1.1498150434907857
5,78,1.0572701344151652
5,120,1.0357370770343024
5,176,1.074541195223541
5,335,1
5,584,1.0461031899104314
5,675,1.0956247399109145
5,697,1
5,787,1
5,947,1
5,1036,1
5,1080,1.029171919822918
5,1252,1
5,1657,1
5,1758,1
5,1882,1
5,1939,1.0208466282700097
5,1968,1
5,1987,1
5,2000,1
5,2491,1
5,2795,1
5,3246,1
5,3250,1
5,3276,1
5,3608,1
5,3774,1
5,4268,1
5,4340,1
5,4503,1
5,5051,1
5,6062,1
5,6079,1
5,6326,1
5,6601,1
5,6621,1
5,6779,1
5,7616,1
5,8375,1
5,8457,1
5,8705,1
5,8728,1
5,9148,1
5,9303,1
5,9825,1
5,9907,1
6,4,1.0977690848849226
6,362,1
6,867,1
6,1016,1
6,1212,1
6,1284,1
6,1471,1
6,2441,1
6,3151,1
6,5963,1
6,6601,1
6,8140,1
7,0,1.1089790901310361
7,697,1
7,1036,1
7,1882,1
7,1968,1
7,2795,1
7,3246,1
7,9303,1
8,1,1.1470306400994754
8,3,1.1063966892403145
8,23,1
8,28,1
8,362,1
8,867,1
8,1016,1
8,1284,1
8,3151,1
8,3774,1
8,5051,1
8,8140,1
9,4,1.0238924839290389
9,58,1
9,430,1
9,697,1
9,1882,1
9,2795,1
9,9303,1
10,2,1.0159654266004996
10,362,1
10,3774,1
11,2,1.057736279235525
11,697,1
12,0,1.175036888349374
12,1,1.1978756312779624
12,18,1.0713757558859365
12,38,1.0112222867477672
12,52,1.0102779365737333
12,56,1.6259507701626994
12,61,1.0947828220747975
12,132,1.0297539946374692
12,296,1
12,303,1
12,344,1
12,410,1.0109631323453154
12,773,1
12,933,1
12,1048,1
12,1171,1
12,1425,1.0172493919991632
12,1436,1
12,2961,1
12,3239,1
12,3774,1
12,4007,1
12,5545,1
12,7295,1
12,8208,1
12,8938,1
13,3,2.5423165333603306
13,4,3.24881435446993
13,835,1.0789258766120238
13,5518,1
13,7106,1
14,0,1.1065603579160623
14,13,2.256426065492161
14,6,1.2400363143058484
14,25,2.7424695864772484
14,30,1.2811406091582878
14,32,1
14,36,1.505167303464799
14,37,1
14,40,1.302021396286732
14,53,1.0391125086677901
14,59,1.072655067956486
14,63,1
14,65,1
14,79,1.1268511160913843
14,81,1.035950689530835
14,83,1
14,93,1
14,107,1
14,122,1.0245588618018175
14,132,1.0409034415500373
14,138,1
14,145,1
14,150,1.0303525414529437
14,160,1
14,162,1.0717231793279105
14,171,1
14,176,1
14,192,1
14,198,1
14,212,1.0359002207821115
14,246,1
14,247,1
14,255,1
14,256,1.0296780405317671
14,262,1.0343378168627262
14,297,1.0220105105336734
14,316,1.0769725935627494
14,323,1.149886092492139
14,329,1
14,331,1
14,379,1
14,426,1
14,429,1.0296780405317671
14,456,1.0286181105127756
14,466,1
14,472,1.0844911348815494
14,505,1
14,587,1
14,640,1
14,644,1
14,659,1
14,745,1
14,762,1
14,765,1
14,780,1.0455569764778812
14,791,1
14,816,1
14,906,1
14,914,1
14,980,1
14,983,1
14,984,1.0400653547178857
14,985,1
14,1008,1
14,1012,1
14,1033,1.0856514106741624
14,1052,1
14,1061,1
14,1080,1
14,1120,1
14,1121,1
14,1157,1
14,1285,1
14,1291,1
14,1323,1
14,1403,1
14,1418,1
14,1436,1
14,1454,1
14,1461,1
14,1551,1
14,1600,1.030819503629143
14,1705,1
14,1782,1
14,1829,1
14,1878,1
14,1894,1
14,1926,1
14,1977,1
14,2023,1
14,2041,1
14,2142,1
14,2157,1
14,2160,1
14,2227,1
14,2250,1.0790963029503682
14,2277,1
14,2306,1
14,2307,1
14,2310,1
14,2315,1
14,2316,1
14,2358,1
14,2407,1
14,2422,1
14,2428,1
14,2436,1
14,2453,1
14,2485,1
14,2502,1
14,2572,1
14,2581,1
14,2590,1
14,2598,1
14,2618,1
14,2682,1.0394879151963572
14,2700,1
14,2711,1
14,2745,1
14,2766,1
14,2791,1
14,2865,1
14,2893,1
14,2908,1
14,2911,1
14,2921,1
14,2942,1
14,2948,1
14,2980,1
14,3053,1
14,3063,1
14,3099,1
14,3190,1
14,3215,1
14,3222,1
14,3244,1
14,3253,1
14,3290,1
14,3312,1.0249397512203842
14,3364,1
14,3367,1
14,3378,1
14,3385,1
14,3431,1
14,3479,1
14,3499,1
14,3509,1.0579502074215503
14,3530,1
14,3577,1
14,3600,1
14,3649,1
14,3654,1
14,3677,1
14,3702,1
14,3779,1
14,3789,1
14,3952,1.0362602432836159
14,3992,1
14,4006,1
14,4037,1
14,4046,1
14,4090,1
14,4236,1
14,4248,1
14,4318,1
14,4365,1
14,4425,1
14,4450,1
14,4488,1
14,4490,1
14,4631,1
14,4647,1
14,4650,1
14,4710,1
14,4745,1
14,4835,1
14,4837,1
14,4898,1
14,4952,1
14,4990,1
14,5023,1
14,5024,1
14,5108,1
14,5176,1
14,5185,1
14,5195,1
14,5218,1
14,5251,1
14,5252,1
14,5300,1
14,5343,1
14,5350,1
14,5367,1
14,5399,1
14,5416,1
14,5437,1
14,5533,1
14,5543,1
14,5651,1
14,5659,1
14,5680,1
14,5691,1
14,5706,1
14,5709,1
14,5780,1
14,5822,1
14,5845,1
14,5906,1
14,5927,1
14,6006,1
14,6008,1
14,6036,1
14,6228,1
14,6268,1
14,6279,1
14,6377,1
14,6407,1
14,6492,1
14,6590,1
14,6636,1
14,6752,1
14,6777,1
14,6842,1
14,6951,1
14,6952,1
14,7056,1
14,7095,1
14,7164,1
14,7215,1
14,7263,1
14,7407,1
14,7441,1
14,7458,1
14,7461,1
14,7511,1
14,7546,1
14,7567,1
14,7571,1
14,7585,1
14,7624,1
14,7625,1
14,7635,1
14,7724,1
14,7781,1
14,7820,1
14,7845,1
14,7945,1
14,7967,1
14,7993,1
14,8017,1
14,8025,1
14,8031,1
14,8096,1
14,8125,1
14,8282,1
14,8285,1
14,8305,1
14,8319,1
14,8458,1
14,8462,1
14,8473,1
14,8536,1
14,8573,1
14,8606,1
14,8692,1
14,8805,1
14,8849,1
14,8863,1
14,8876,1
14,8961,1
14,8963,1
14,8985,1
14,9323,1
14,9324,1
14,9325,1
14,9345,1
14,9359,1
14,9385,1
14,9408,1
14,9621,1
14,9642,1
14,9688,1
14,9707,1
14,9860,1
14,9928,1
15,13,1.0824267076682386
15,23,1
15,942,1
15,1913,1
15,2629,1
15,3061,1
15,6587,1
16,12,2.1183525547333693
16,6,1.8675210762288736
16,4,2.4691783877504987
16,56,5.863189260762509
16,142,1
16,1395,1.1954964341549115
16,3239,1.0593769405380211
16,5350,1
16,6611,1
17,0,1
17,26,1
18,0,1.0472506151360097
18,2,1.204318749530588
18,1,1.1729330306899548
18,28,1
18,32,1.0295130769101435
18,230,1
18,2064,1
18,2564,1
18,9103,1
19,2,1
20,0,1
20,2,1
20,303,1
21,12,1
21,28,1
22,13,1
22,1320,1
23,13,1.1925509664327616
23,2,1.0449029834792785
23,1,1.0405033317608596
23,32,1
23,65,1
23,77,1.0159295067402707
23,149,1
23,202,1.029048149132883
23,280,1
23,490,1
23,626,1.0400877753311213
23,735,1
23,822,1
23,1030,1
23,1186,1
23,1304,1
23,1500,1
23,1870,1
23,1913,1
23,2319,1
23,2574,1
23,3193,1
23,3640,1
23,5736,1
23,7312,1
23,9152,1
23,9481,1
24,13,1.396976827663815
24,25,1.1460776885714319
24,32,1
24,53,1.0656554486283196
24,68,1
24,111,1
24,219,1
24,508,1
24,611,1
24,655,1
24,724,1
24,735,1
24,822,1
24,969,1
24,993,1
24,1262,1
24,1301,1
24,1327,1
24,1337,1
24,2206,1
24,2633,1
24,3339,1
24,3654,1
24,4233,1
24,4332,1
24,4531,1
24,4811,1
24,5166,1
24,5319,1
24,5373,1
24,5514,1
24,5850,1
24,6988,1
24,8850,1
24,9479,1
25,4,9.632337683238342
25,13,96.37091704672467
25,3,4.492145747401856
25,30,8.68055311162374
25,77,3.3744301117624844
25,82,2.1150622659235037
25,144,1.420615001977156
25,236,1.3121099511268859
25,248,3.081890786295827
25,316,5.3026851590202195
25,409,1.4563786707248227
25,415,1
25,429,2.256468307455742
25,471,1
25,485,1
25,516,1.0564667157649879
25,549,1.0691333084596848
25,585,1.4089457982806264
25,650,1.093860488135962
25,682,1.0508208659876144
25,738,1.1266012434943622
25,806,1.2844974187948945
25,807,1
25,810,1
25,847,1
25,859,1.417503794274334
25,865,1.881713878770127
