from,to,w
0,1,15.9297998924699
0,407,6.075286326143543
0,814,1
0,930,1.4999446701429537
0,2379,1
0,2879,1.4331894843037423
0,4259,1
0,4549,1
1,0,13.208828225387487
1,2,8.21884920771365
1,414,1.5207948210934785
1,426,1
1,487,1
1,679,1
1,1129,1
1,1356,1
1,1455,1.182280619741582
1,3093,1
1,3249,1
1,3772,1
1,3820,1
2,1,7.619506280215535
2,3,2.8076546663439608
2,403,3.8344621529079532
2,672,1
2,783,1
2,856,1.2767600251834001
2,979,1
2,1016,1
2,1105,1.3049330582877983
2,1273,1
2,1397,1
2,1548,1
2,2218,1.229164382661694
2,2310,1
2,2507,1
2,2680,1
2,2799,1
2,2965,1
2,2996,1
2,3027,1
2,3212,1
2,3248,1
2,3330,1
2,3884,1
2,4038,1
2,4641,1
3,2,1.8128585650967306
3,4,1.2158677803223794
3,395,1
3,524,1
3,749,1.1957172532261786
3,1239,1
3,1757,1
3,1927,1
3,2297,1
3,2538,1
3,2689,1
3,2977,1
3,3215,1
3,3423,1
3,4186,1
3,4243,1
3,4297,1
3,4319,1
4,3,1.2836821830933964
4,5,1.284191028924061
4,528,1.3162312763178845
4,1016,1
4,1034,1.0985251601457386
4,2310,1
4,2680,1
4,2965,1
4,3647,1
5,4,1.679743810569171
5,6,1
5,510,1.7127927345923883
5,524,1
5,853,1
5,2538,1
5,4243,1
6,5,1
6,7,1
6,1016,1
6,2375,1
6,4319,1
7,6,1
7,8,1
8,7,1
8,9,1.1665346742488754
9,8,2.3596074318987137
9,10,1
9,360,1
9,478,1.7399800075459393
10,9,1
10,11,3.718546769573072
10,412,1.491892194245151
10,897,1
11,10,1.7708840133119248
11,12,1.9727695238721954
11,2987,1
12,11,5.974293692511517
12,13,1
12,360,2.259612886389347
12,480,3.753150763427025
12,893,2.5377027943115493
12,1014,1
12,1572,1
12,1599,1
12,1731,1
12,3483,1
12,3910,1
12,3928,1
12,3975,1
13,12,1
13,14,1.3573529354691543
13,380,1.5256848887375778
13,455,1.1139131262118345
13,2324,1
14,13,1.4383442557978217
14,15,1.4175759981409402
14,1543,1
14,1715,1
15,14,1.3310012465760452
15,16,1
16,15,1
16,17,1.1219029195460268
16,380,1.4489116011246521
17,16,1.233133686857452
17,18,2.423456180917665
18,17,2.0107035956152743
18,19,1.900421677567566
18,1099,1.2036316176845046
