from,to,w
0,1,11.899333217608842
1,0,5.917740772217047
1,2,4.478991616886797
1,871,1
1,4523,1
1,4686,1
1,4984,1
1,5127,1
1,5156,1
1,5449,1
1,5533,1
1,5570,1
1,5822,1
1,6276,1
1,6751,1
1,7080,1
1,7101,1
1,7145,1
1,7452,1
1,8142,1
1,8284,1
1,8354,1
1,8592,1
1,9196,1
2,1,2.926450963512549
2,3,1.637730068564026
2,245,1.1343776599019848
2,436,1
2,593,1
2,1175,1
2,1289,1
2,1798,1
2,2765,1
2,2837,1
2,3219,1
2,3612,1
3,2,2.0425457697052027
3,4,2.220803320166102
3,242,1
3,267,1.1068213528730813
3,357,1.1174948912867502
3,420,1
3,1064,1
3,1099,1
3,1303,1
3,1817,1
3,2631,1
3,2716,1.0629505056197381
3,3454,1.100349733077557
3,3681,1
3,4005,1
3,4984,1
3,5127,1
3,5449,1
3,6751,1
3,7139,1
3,9196,1
4,3,3.6823018957827727
4,5,3.2581824064384692
4,242,1
4,2837,1
4,3078,1
4,3219,1
4,3612,1
4,7080,1
4,7145,1
4,8142,1
4,8592,1
5,4,3.284012441516455
5,6,2.5591865079508964
5,662,1.4295203030145565
5,2319,1
5,2837,1
5,3306,1
5,4874,1
5,5127,1
5,5250,1
6,5,1.3988845487207788
6,7,1.1299706571598824
6,1018,1
6,2631,1
7,6,1.4606257617300114
7,8,1.7782882547689574
8,7,1.2694787007908974
8,9,1.7168081694036357
9,8,1.4615469850811955
9,10,1.3520516473655018
9,5630,1.0598468157479601
10,9,1.437069119567653
10,11,1.412715573549966
10,350,1
10,647,1.2485066448459048
10,946,1
10,1258,1.1142436268581615
10,1818,1
11,10,2.344782907928248
11,12,2.2569037019673814
11,471,1.201313663606424
11,9546,1
12,11,2.099319624877171
12,13,1.742114659430323
13,12,1.4295032413958
13,14,1
14,13,1
14,15,2.5658605304584454
14,362,1
14,1756,1
14,3851,1
14,4566,1
15,14,2.4760485366890905
15,16,1
15,362,1
16,15,1
16,17,1.3980787761763693
16,263,1
16,411,1
16,553,1.395638297639113
16,6033,1
17,16,1.3548838752843557
17,18,1.6651416831530486
17,1242,1
18,17,1.1418470436074752
18,19,1.2628258821526697
18,263,1.131695168965962
18,5926,1
19,18,1.7728688944861049
19,20,1.3553626852277885
19,2413,1
20,19,1.5001770083350445
20,21,1.9245639416069222
20,263,1
21,20,1.1186419814507556
21,22,1.0456404296292934
22,21,1.4247755804153643
22,23,1.43380999076637
22,263,1.3341399184587868
22,273,1
