from,to,w
0,1,8.387045695300952
1,0,5.02311440161141
1,2,2.342143212949446
1,3968,1
2,1,5.055897922203625
2,3,2.987942278565891
2,663,1
2,762,1
2,1466,1
3,2,1.3676887040950951
3,4,1.2498955281336106
3,2158,1
3,3191,1
3,7185,1
3,8761,1
3,9672,1
4,3,3.4745935806064496
4,5,1.4666932993307669
4,343,1
4,1466,1
4,1627,1
5,4,1.663808019194485
5,6,3.1994155939099835
5,4745,1
5,4773,1
6,5,1.36366747131228
6,7,1.101574548216209
7,6,1.4058840126280037
7,8,1
8,7,1
8,9,1.2570726285005347
9,8,1.536602686617997
9,10,1.5917165085860363
9,406,1.542133632200859
9,464,1.9467603148638393
9,549,1
9,2803,1
10,9,1.1713627414973493
10,11,1.6102737311566284
10,2803,1
10,4507,1
11,10,2.1434726846443204
11,12,1
12,11,1
12,13,1.3173611215976302
12,406,1.396449161005522
13,12,1.2041310446941689
13,14,1.3456286011634373
14,13,1.2718989953218278
14,15,1.2464265255658409
14,273,1.449443877456574
14,440,1
14,885,1.247063060014124
15,14,1.3740027560178132
15,16,1.3740027560178132
15,2686,1
15,7385,1
16,15,1.4146394198827026
16,17,1.3817173873565982
16,2708,1
17,16,1.2971189294269658
17,18,1.5748430530222735
17,273,1
18,17,1.1546111406565949
18,19,1.6174594488691112
18,1967,1
19,18,5.847267342298339
19,20,3.01934425472492
19,1906,1.5567616188337605
19,4045,1
20,19,1.414338655342913
20,21,1
20,405,1.1119481235276818
21,20,1
21,22,2.1414027210541584
22,21,2.949400581114593
22,23,1.558755118668266
22,5643,1
23,22,1.1476772422881585
23,24,1
24,23,1
24,25,1
25,24,1
25,26,1
26,25,1
26,27,1.2761372565050202
26,223,1.2921149760002697
26,2523,1.2408816230974762
26,8150,1
27,26,1.3074424679478758
27,28,2.4026441815491237
28,27,1.5671641159593235
28,29,1.417954802991317
29,28,1.2481221375743392
29,30,1
30,29,1
30,31,1.0847865889219126
31,30,1.3792021516353885
31,32,1
31,363,1.3243050999839665
32,31,1
32,33,2.256858228224721
32,947,1
33,32,1.3123533068390905
33,34,1.418037071202538
34,33,1.096990574970685
34,35,1
35,34,1
35,36,1.5966713455574582
35,2941,1
36,35,3.155791337763742
36,37,1
37,36,1
37,38,1.3771570109399194
37,1483,1
37,5205,1
38,37,1.4943825274987075
38,39,6.304085150179904
39,38,3.424584399853114
39,40,1
39,3040,1.7732226430352018
39,3870,1
40,39,1
40,41,1
40,355,1
41,40,1
41,42,1.3548097677339501
42,41,1.3436964178320117
42,43,1.733271381763339
43,42,2.435720413741328
43,44,2.1665184104474644
44,43,2.34660617168907
44,45,2.8465311060156475
44,1273,1
44,3020,1
44,7032,1
45,44,1.663781584737533
45,46,1.430190491868583
45,456,1.8293236461339508
45,922,1
45,4223,1
46,45,1.032936134770569
46,47,1.123004476294588
47,46,3.924536441181149
47,48,4.097171949906026
47,1018,1
47,2085,1
47,2141,1
47,2936,1
47,4673,1
47,4714,1
47,5790,1
47,6841,1
47,8288,1
47,8391,1
48,47,3.649008332861539
48,49,1.3994802207567116
48,1152,1
49,48,1.0375214098543573
49,50,1
50,49,1
50,51,1
51,50,1
51,52,1.147436250958001
52,51,1.0937840235396128
52,53,1.6403277845243494
53,52,3.385814564955277
53,54,3.6873426883514915
54,53,3.7267011477219953
54,55,3.178365857370413
54,587,5.392503006166928
54,1592,1
54,6139,1
55,54,4.593553382378754
55,56,2.403595635764825
55,1833,1
56,55,1.1264062678463842
56,57,1.0539032684956056
56,5291,1
57,56,1.0350636957227615
57,58,1
58,57,1
58,59,1
58,477,1
59,58,1
59,60,2.8409482296105733
60,59,1.0687970023194944
60,61,1.0761825677408348
60,5694,1
61,60,3.3008322798788043
61,62,1.681292074268383
62,61,1.513964650694989
62,63,1
63,62,1
63,64,1
64,63,1
64,65,1.2639206637378835
64,316,1.284754620192656
65,64,1.1810138385270283
65,66,1.22994495089903
65,285,1.865828892264236
66,65,1.1344788959838776
66,67,1.095892223938851
66,3586,1
67,66,1.038882293041277
67,68,1.1241006246323981
68,67,1.7763081709980466
68,69,1
68,394,1.1893323043400457
68,785,1
68,5015,1
69,68,1
69,70,1
69,284,1
69,6921,1
69,8936,1
70,69,1
70,71,1.4855985464751753
71,70,1.999863764753568
71,72,2.142584165373685
71,2588,1
72,71,1.4371509440766286
72,73,1
73,72,1
73,74,1
74,73,1
74,75,2.480149778121392
75,74,2.084472575588095
75,76,1.3989809556761956
76,75,1.0649517029809794
76,77,1
77,76,1
77,78,1.7314413753908686
78,77,1.0438881664210133
78,79,1.0204605500608719
79,78,1.3942101023483906
79,80,1.3565261922455583
79,769,1
80,79,1.1620155724934198
80,81,1.331641015402204
80,4392,1
81,80,1.877002451123864
81,82,1.4007711632409157
81,8124,1
82,81,1.626625360054563
82,83,1.5686682259001468
83,82,1.4382523189567613
83,84,1.4090354976929773
84,83,1.023454024083332
84,85,1.0288154074335414
84,1704,1.02160458636117
84,3439,1
85,84,1.0963192289678825
85,86,1.0964161540415815
86,85,1.4898852190425207
86,87,3.2393024181278283
87,86,1.2840831602580276
87,88,1
87,2127,1
87,9133,1
88,87,1
88,89,1.0676672326205008
89,88,1.096800084153599
89,90,1.6147917450183853
90,89,1.5463528484899403
90,91,1.7307062613136728
91,90,3.4048405615989967
91,92,1
91,5910,1
92,91,1
92,93,2.18704889309739
92,244,1.554319980591975
92,767,1
93,92,1.2536776634003826
93,94,4.5591976299566515
93,391,1.8051563353113207
93,1011,1
93,1076,1.474925250866272
93,5245,1
93,6095,1
94,93,5.723300502181259
94,95,2.4828499786930447
94,702,1
94,3345,1.1724078276455925
94,3902,1
94,4106,1
95,94,2.677016120660322
95,96,1.5151072768022313
95,366,1.6384190313416167
95,391,1.1530654560894762
95,443,1
95,592,1.2596101368575194
95,798,1
95,2613,1
95,2749,1
95,3311,1
95,3610,1
95,5104,1
95,8321,1
95,9628,1
96,95,1.4413625423856
96,97,1.906850837706434
96,289,2.738349042300674
96,293,1
96,2615,1
96,2974,1
96,4121,1
96,5739,1
97,96,2.211611790821455
97,98,1.513700089616417
97,3015,1
98,97,1.0275436181456665
98,99,1.0442478574564251
98,202,1.1177036088517485
98,209,1.0482602535497767
98,1707,1
98,2106,1
98,2916,1
98,3482,1
98,6364,1.0121588157103742
98,8313,1
99,98,2.2529545110630513
99,100,1
99,7243,1
99,7356,1
100,99,1
100,101,1.2034276157443706
100,200,2.172762775808149
100,275,1
100,281,1
100,384,1
100,1065,1
100,1373,1
100,2152,1
101,100,1.1649837278024249
101,102,1
101,351,1
102,101,1
102,103,2.3231010009500803
103,102,1.2962306541520145
103,104,1.1126307512735627
104,103,1.4908079776959369
104,105,1
105,104,1
105,106,1.7444849982427888
106,105,1.0658467440815511
106,107,1.550529460306405
107,106,5.21566983704011
107,108,4.5300942037259775
107,352,1
108,107,1.4833705950654072
108,109,1.2241119243148837
108,4402,1
108,5445,1
109,108,1.8549797644817545
109,110,1.9017934279960915
110,109,2.0144525070058372
110,111,1.3052373232067143
110,2214,1
111,110,1.7421397777216328
111,112,2.8456700268460904
111,210,3.8261233555430203
111,2838,1
112,111,2.330671620838651
112,113,2.1795060565263364
112,420,5.480967534256748
112,1138,1
112,1282,1
112,3751,1
112,6803,1
112,6978,1
113,112,1.518782236910998
113,114,1.272211690873975
113,448,1.2265033321309011
113,449,1
113,1071,1
114,113,1.3555112661836337
114,115,1
115,114,1
115,116,2.448142921149147
116,115,1.872633470124559
116,117,1.3351030142337963
117,116,1.6490310512913324
117,118,2.4510900435731275
118,117,1.030156006687788
118,119,1
119,118,1
119,120,1
120,119,1
120,121,1
120,225,2.2084525558188366
121,120,1
121,122,3.9059055312397484
122,121,2.070202281872231
122,123,1.3978983032935135
123,122,1.547168075062886
123,124,1
123,3607,1
124,123,1
124,125,1
125,124,1
125,126,3.0292786595675656
125,294,1.6494007923749359
126,125,3.532425764150249
126,127,3.0383302311390956
126,1899,1
126,1942,1.4873835506613644
126,2457,1
127,126,2.115649046424988
127,128,1
127,1336,1
127,2219,1.2684405493349873
127,2638,1
128,127,1
128,129,1.7297795939501073
128,879,1
129,128,1.1287454660039102
129,130,1
130,129,1
130,131,1.379486239732325
130,278,1
130,1181,1
130,1295,1
131,130,1.113677995091762
131,132,1.0688607310129377
131,478,1
131,2257,1
132,131,1.573306512529891
132,133,3.0511339704524985
132,278,1.5462958175886046
132,454,1
132,4721,1
133,132,2.8619065138159594
133,134,4.122588603321397
133,462,1
133,783,1
133,931,1
133,9620,1
134,133,1.8224230288573624
134,135,1.5663527759976479
134,1702,1
134,9327,1
135,134,3.6413211556365637
135,136,1.7020021411279866
136,135,1.3148175996575842
136,137,1.55013290043923
137,136,2.061585836616283
137,138,1.4428379295205382
137,2719,1
138,137,1.5625151512414353
138,139,1.7342500868697948
138,1107,3.9359790971927486
139,138,1.5730036434673478
139,140,3.212612546136076
139,4843,1
139,8411,1
140,139,3.4900329421027463
140,141,5.086117480646185
140,726,1
140,5347,1
141,140,3.165914222722723
141,142,2.5724557278058136
141,267,1
141,1610,1
142,141,1.7000547774463293
142,143,1.9378670108508895
142,378,1.3286695677274716
142,529,1
142,7067,1
142,7600,1
143,142,3.385938285021796
143,144,1.4124349711157702
143,240,1
143,1141,1.2887044797810392
143,1803,1
143,6485,1
143,7132,1
144,143,1.6235039426995654
144,145,1
144,4760,1
145,144,1
145,146,2.2195324299893913
146,145,1.9913999072009876
146,147,2.0879652934096664
147,146,1.5801744147376602
147,148,2.703238299525342
147,258,1
148,147,8.233073121776
148,149,3.374929451564653
148,2267,1
148,2720,1
149,148,1.4134282992472498
149,150,1
150,149,1
150,151,2.03069970774245
150,490,1
150,4832,1
150,8358,1
151,150,2.1630067915633506
151,152,2.7857412507867574
152,151,1.5610564049387912
152,153,1.1750636442711693
153,152,1.4481467396796286
153,154,2.369238255948839
153,1360,1
154,153,2.1753489192430613
154,155,1.3065681103353397
155,154,1.6018655790480305
155,156,1
155,388,1
156,155,1
156,157,1.027079276887154
156,5691,1
157,156,1.5265477730099124
157,158,1.9734172803890648
157,633,1.6405774933159942
157,733,1
157,3757,1
157,3979,1
157,3994,1
158,157,2.237322483542879
158,159,1.5859644724149558
158,214,4.487201683734469
