from,to,w
0,1,5.3939284589327805
1,0,10.688911899770083
1,2,2.0540743498447216
2,1,1.039998749814389
2,3,1.0367168580404258
2,267,1
2,1112,1
2,1127,1
2,1959,1
2,2597,1
2,2655,1
3,2,1.1495459749626056
3,4,1.098847996211188
3,519,1
3,756,1
3,1449,1
3,1634,1
4,3,1.4858367460904751
4,5,1.488299086611319
4,267,1.4040725251604682
5,4,1.389619579248648
5,6,1
5,453,1
6,5,1
6,7,3.1849937669237036
6,267,1.430265085215813
7,6,2.7498123068169824
7,8,1.584832691684378
8,7,1.419131903434501
8,9,1.3808228874205368
8,280,1.8309730390051993
8,1172,1
8,1323,1
9,8,1.014031387989319
9,10,1.0155904310992434
9,278,1
9,577,1
10,9,1.1570517050735016
10,11,1
11,10,1
11,12,1
12,11,1
12,13,1
12,1667,1
13,12,1
13,14,1
13,371,1.8166323580714065
14,13,1
14,15,1
15,14,1
15,16,1.0228470446835356
15,241,1.178012122330672
15,274,1.0518379539249874
15,352,1
15,1909,1
16,15,1.243699310963533
16,17,1.5626547376428173
16,226,1.1845007858125032
16,751,1
17,16,2.066615453280477
17,18,1.548531930636892
18,17,1.1913030856070794
18,19,1
18,1053,1
19,18,1
19,20,1
20,19,1
20,21,1
21,20,1
21,22,1
22,21,1
22,23,1
23,22,1
23,24,1.3959511300394034
24,23,1.4625036729009988
24,25,1
25,24,1
25,26,1.3779134312561019
26,25,1.5102966235566497
26,27,1
27,26,1
27,28,1
28,27,1
28,29,1
29,28,1
29,30,1
29,578,1
30,29,1
30,31,1.015081747008176
30,263,1
31,30,1.0288600779523547
31,32,1.0346320935428257
32,31,1.5479133555831701
32,33,1
33,32,1
33,34,1
34,33,1
34,35,1.326169928883078
34,216,1
34,259,1
34,531,1
34,1396,1
35,34,1.1487084121647448
35,36,1.2698782294841664
36,35,1.5238408757343134
36,37,1
37,36,1
37,38,1
37,2460,1
38,37,1
38,39,1
39,38,1
39,40,1.0709201997170728
40,39,1.4993985605266262
40,41,1
41,40,1
41,42,1
42,41,1
42,43,1
42,253,1
43,42,1
43,44,1.6993553677216324
44,43,2.286461604118591
44,45,1
45,44,1
45,46,1
46,45,1
46,47,1
47,46,1
47,48,1
47,200,1.3680527175278754
47,204,1
47,387,1
47,440,1
48,47,1
48,49,1
48,200,1
48,387,1
48,626,1
49,48,1
49,50,1.1824762792753811
50,49,1.3218823128482335
50,51,1.348655242529992
50,200,1.3087684507670976
51,50,1.358113357904727
51,52,1.43914816489483
51,1205,1
51,2340,1
52,51,1.5279691836171394
52,53,1.5279691836171394
52,228,2.0941699399192775
52,301,1
52,477,1.377120845440814
52,2256,1
53,52,1.5194072020376626
53,54,1.61445711582335
54,53,1.5995993696989081
54,55,1
54,227,1.2666349821686975
55,54,1
55,56,1.4235140847825793
56,55,2.1751940755536237
56,57,1.574628365492996
56,339,1.5239758561199763
57,56,1.3597797703850785
57,58,1.4527818824278023
58,57,1.221783533810011
58,59,1.1969723005325568
58,676,1.1848196115083423
58,923,1
58,1617,1
58,2804,1
59,58,1.6945085175788923
59,60,2.3987428053056545
59,339,1
59,381,1
60,59,1.460603115313334
60,61,1.6525299940634666
61,60,1.6119603633645432
61,62,1.848558359191748
62,61,1.1037952942625078
62,63,1
63,62,1
63,64,1.0728695149584193
63,341,1
64,63,1.0470287623104766
64,65,1.104971024749767
64,217,1.086842655503777
64,233,1.0673838786050487
64,311,1
64,740,1
65,64,1.332160654234158
65,66,3.269315681626319
66,65,3.619112319070477
66,67,1
66,630,1.3116200842601478
66,805,1
67,66,1
67,68,1
68,67,1
68,69,1.5816167436018427
69,68,1.3299816690208348
69,70,1
70,69,1
70,71,1
70,906,1
71,70,1
71,72,1.9166372311262845
72,71,1.8023630803661292
72,73,1
73,72,1
73,74,1
74,73,1
74,75,1.588583328169102
74,430,1
75,74,1.5587480596497425
75,76,1.5028732536847682
76,75,1.4008775235903523
76,77,1
76,831,1
77,76,1
77,78,1.4951229460883944
78,77,1.560095513120646
78,79,1.560095513120646
78,925,1
79,78,1.3271789266263863
79,80,1
79,280,1.7611568904299293
80,79,1
80,81,1.1018313064482097
80,220,1
80,278,1
81,80,1.2234160061032395
81,82,1
82,81,1
82,83,1
82,220,1
82,235,1.2378301036725918
82,280,1
83,82,1
83,84,1
84,83,1
84,85,1
85,84,1
85,86,1
86,85,1
86,87,1.6044878494622883
87,86,1.3875503603728547
87,88,1.3229586336440455
88,87,1.3568356755728963
88,89,1.973797192797829
88,225,1.2637948867426505
88,532,1.4321650836654558
88,1342,1
89,88,1.1205790820572523
89,90,1.2068787600415323
89,1351,1
90,89,1.137456853622759
90,91,1
91,90,1
91,92,1
92,91,1
92,93,1
93,92,1
93,94,1.05949526363615
93,375,1
94,93,1.0792061354135425
94,95,1.2379069693223665
95,94,1.2555683753022324
95,96,1.2501242518809188
95,668,1
96,95,1.697251090308081
96,97,1
97,96,1
97,98,1.3639675931381767
97,271,1
97,2873,1
98,97,1.0694888367811508
98,99,1
98,296,1
99,98,1
99,100,1.0613315013857172
99,271,1.1049807151867472
99,929,1
100,99,1.1579214543943412
100,101,1.188809692398088
101,100,1.4523769055175086
101,102,1
101,1175,1
102,101,1
102,103,1
103,102,1
103,104,1
104,103,1
104,105,2.804116980273523
104,342,1.5727381070150688
104,561,1
104,975,1
104,1970,1
104,2148,1
105,104,4.197268186421676
105,106,1.956714733393261
105,384,1
105,445,1
105,540,1
105,606,1
106,105,2.033365434689609
106,107,1
106,201,9.717193993189692
106,376,1
106,404,1
106,878,1
106,1071,1
106,1140,1
106,1901,1
106,2143,1
106,2664,1
107,106,1
107,108,1.49433691658243
108,107,1.127059221154582
108,109,1
109,108,1
109,110,1
110,109,1
110,111,1
111,110,1
111,112,1
112,111,1
112,113,1.7665113940431538
113,112,1.1941779773595071
113,114,1.1087396673213241
114,113,1.5448695982142278
114,115,1
114,377,1
115,114,1
115,116,1.1567958990572291
116,115,1.6526318700052471
116,117,1
117,116,1
117,118,1
118,117,1
118,119,1.9228748307240038
119,118,1.0364414509326345
119,120,1
120,119,1
120,121,1.542629355136801
121,120,1.2485410990030663
121,122,1
122,121,1
122,123,1
123,122,1
123,124,1.2010417974377625
124,123,1.3987126883714356
124,125,1.2847947774081683
124,209,1.366218564182256
125,124,1.6166860747005112
125,126,1
125,345,1
125,467,1
126,125,1
126,127,3.026197117052296
126,1649,1
127,126,2.181556638680062
127,128,1.9253630729435016
128,127,1.8474674518229355
128,129,1
129,128,1
129,130,1
129,246,1
130,129,1
130,131,2.771647659392954
130,205,5.129770087223367
130,636,1
131,130,2.2714355538951296
131,132,1.866281011857491
131,318,2.6478337368088996
131,543,1
132,131,1.1977092624921788
132,133,1.090284626302384
132,285,1
133,132,1.2131276694451412
133,134,1
134,133,1
134,135,1
134,205,1
134,279,1
135,134,1
135,136,1.3220272645692517
136,135,1.0257300985959426
136,137,1
136,1144,1
137,136,1
137,138,1.4084826195809004
138,137,1.7580809641291644
138,139,1
139,138,1
139,140,1
140,139,1
140,141,1.2554932789958413
141,140,1.468246175323999
141,142,1.4075587803862804
142,141,1.3426544584215498
142,143,1
142,228,1
142,366,1.340141792361333
143,142,1
143,144,1.6208575290282152
144,143,1.0697587000836242
144,145,1.0829769257252537
145,144,2.959456234822197
145,146,1
145,208,2.123435261641606
145,350,1.3417509167287218
145,805,1
146,145,1
146,147,1
146,209,1
146,387,1
147,146,1
147,148,1
147,211,1
148,147,1
148,149,2.083614414043975
148,233,1
149,148,1.1230006505024628
149,150,1.2159756630319272
149,233,1.1166355504947412
149,491,1
149,811,1
150,149,1.7370085179513084
150,151,1.4579373903441755
150,290,1.365595630367822
150,763,1
150,1074,1
150,1286,1
150,1676,1
150,1759,1
150,1795,1
150,2013,1
151,150,2.3082880694562045
151,152,2.665601210463911
151,214,1.1297428545993098
151,217,1.7664373337137393
151,233,1
151,526,1
151,1309,1
152,151,2.3384014034320426
152,153,2.3625111753006993
152,234,1.3590218317725524
153,152,3.0623736912603214
153,154,2.2318131756556236
154,153,1.7411108004912776
154,155,1.3110869476964477
155,154,1.3025716854836047
155,156,1
156,155,1
156,157,1.3251013477319
157,156,1.3735807957581994
157,158,1.237948610212174
158,157,1.4328710447833977
158,159,1
158,238,1.4200372616192576
158,337,1
158,470,1
159,158,1
159,160,1.6153741998647497
159,257,1.1208469364400933
160,159,1.0783362571511375
160,161,1.0777185916263783
161,160,2.355510289124581
161,162,1
162,161,1
162,163,1.0313107149204093
163,162,1.00042342280042
163,164,1.000381080520378
164,163,1.3840037401694916
164,165,1.3979924661110728
165,164,1.1640956054132787
165,166,1
165,238,1.3567869827343872
165,2741,1
166,165,1
166,167,1.4259281192820839
166,599,1
167,166,1.2039135495066762
167,168,1
168,167,1
168,169,1
168,506,1
169,168,1
169,170,1
170,169,1
170,171,1
171,170,1
171,172,1
172,171,1
172,173,1
173,172,1
173,174,1
174,173,1
174,175,1.0994990330309113
175,174,1.6117088058511142
175,176,1
176,175,1
176,177,1
177,176,1
177,178,1
178,177,1
178,179,1
179,178,1
179,180,1
180,179,1
180,181,1
181,180,1
181,182,1
182,181,1
182,183,1
183,182,1
183,184,1.483860454117804
183,293,1.3664431604103624
184,183,1.9006255398983252
184,185,1
184,226,1
185,184,1
185,186,1.5837417851680944
186,185,1.1660868981854466
186,187,1
186,245,1
187,186,1
187,188,1
187,226,1
187,241,1.0904828349097104
187,314,1
188,187,1
188,189,1.1596849767428856
189,188,1.0372157258120462
189,190,1
