from,to,w
0,1,19.083477376015093
0,36,2.237720914417229
0,100,1
0,110,1
0,897,1
0,912,1
0,1009,1
0,1346,1
0,1458,1
0,2677,1
0,4450,1
0,4925,1
0,6114,1
0,6933,1
0,7313,1
0,8237,1
0,9187,1
0,9761,1
1,0,18.41366675458557
1,2,6.9420131964453375
1,36,1.9352401266708557
1,162,1
1,389,1
1,539,1.3309224753936097
1,609,1
1,717,1
1,770,1.332823438858649
1,913,1
1,1483,1
1,1562,1
1,1805,1
1,2054,1
1,2126,1
1,2175,1
1,2214,1
1,2350,1
1,2425,1
1,2582,1
1,2588,1
1,2597,1
1,2642,1
1,2809,1
1,2896,1
1,2924,1
1,3629,1
1,3778,1
1,3814,1
1,4033,1
1,4051,1
1,4214,1
1,4285,1
1,4455,1
1,4586,1
1,4635,1
1,4785,1
1,4817,1
1,5108,1
1,5471,1
1,5488,1
1,5716,1
1,6359,1
1,6484,1
1,6562,1
1,7506,1
1,7884,1
1,7906,1
1,8764,1
1,8890,1
1,8896,1
2,1,8.668633049300276
2,3,7.480293753900929
2,11,2.5826207482907733
2,12,9.247637630598295
2,39,2.7702656851892082
2,43,1
2,78,1
2,90,1.8486058291821739
2,104,1.3391950260031475
2,105,1.7906932522829604
2,233,1
2,246,1
2,343,1
2,363,1
2,392,1.264632269710192
2,464,1
2,556,1
2,821,1
2,931,1
2,970,1
2,985,1
2,1002,1
2,1137,1
2,1178,1
2,2196,1
2,2582,1
2,2588,1
2,2854,1
2,2924,1
2,3087,1
2,3427,1
2,3481,1
2,3814,1
2,4033,1
2,4214,1
2,4285,1
2,4635,1
2,4699,1
2,4785,1
2,6159,1
2,6166,1
2,6378,1
2,6718,1
2,7653,1
2,7801,1
2,8396,1
2,8577,1
2,9023,1
2,9086,1
2,9345,1
2,9364,1
2,9508,1
2,9667,1
2,9701,1
2,9855,1
3,2,2.1167914801633745
3,4,2.051597894102387
3,215,1
3,523,1
3,913,1
3,2350,1
3,4042,1
3,4785,1
3,5239,1
3,5340,1
3,6679,1
3,6862,1
3,7709,1
3,8565,1
3,8610,1
3,8868,1
3,9084,1
4,3,1.0504173486388522
4,5,1.0525639947544818
4,11,1.0258537481080419
4,60,1
4,156,1
4,344,1
4,1365,1
4,1812,1
4,2080,1
4,2167,1.0033185067840302
4,2924,1
4,3266,1
4,3398,1
4,4186,1
4,4214,1
4,4285,1
4,5164,1
4,5464,1
4,8577,1
4,9086,1
4,9855,1
5,4,3.3816491937154263
5,6,2.4468780889177935
5,275,1
5,344,1
5,359,1
5,1168,1
5,4115,1
5,4785,1
5,7709,1
5,8565,1
5,8868,1
6,5,3.686616719281791
6,7,1.4921519869650868
6,9958,1
7,6,1.3274161019537711
7,8,1.4814736339646002
7,4042,1
8,7,1.8447455175833585
8,9,2.4927849907890804
8,10,1.0729097160446084
8,47,1.3757917950076435
8,52,1
8,101,1
8,215,1.2270853891811109
8,491,1
9,8,2.070012536713157
10,6,1
10,9,1
10,5,1.0470702970958643
10,11,1.049668520832955
10,14,1.1454991946164523
10,19,1
10,64,1.0877586274862858
10,99,1
10,105,1.0813650880261567
10,112,1.0326294818948891
10,114,1
10,224,1
10,286,1
10,339,1
10,417,1.0301382446218206
10,622,1
10,628,1
10,669,1
10,709,1
10,818,1
10,890,1
10,954,1
10,956,1
10,1329,1
10,1366,1
10,1408,1
10,1651,1
10,2004,1
10,2268,1
10,2802,1
10,2927,1
10,3937,1
10,5423,1
10,5562,1
10,5811,1
10,6289,1
10,6339,1
10,6736,1
10,7594,1
10,8058,1
10,8091,1
10,8577,1
10,9687,1
11,1,1.0878135663734196
11,0,1.0958883841045168
11,3,1.0259910279805768
11,5,1.2664185821064209
11,13,1.1621403595380773
11,14,3.3902736089854923
11,52,1
11,97,1.0361160427945388
11,125,1.0422330219259328
11,193,1.0615519843021644
11,449,1.0135237553326155
11,670,1.0273156218777184
11,945,1
11,1371,1
11,1458,1
11,1813,1
11,1970,1
11,2465,1
11,2681,1
11,3685,1
11,3789,1
11,4405,1
11,5081,1
11,5184,1
11,5227,1
11,5484,1
