nid,Is,Os,S,V,D
52,138.09522323177518,46.36230867071965,184.45753190249482,0.09438543183078218,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
53,46.24137053416938,51.60122159664926,97.84259213081864,0.032316969980867444,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
54,1,6.014689836544529,7.014689836544529,0.021029423484917126,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
55,27.316542509914697,122.28993227946319,149.6064747893779,0.018697216383022935,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
56,0,4,4,0.06217400839672299,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
57,60.01636553366888,101.4748581867701,161.491223720439,0.030554492730430566,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1]"
58,17.161172556434575,44.920558865419366,62.081731421853945,0.07195976030824719,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]"
59,10.030678143492553,11.066933295626285,21.097611439118836,0.08449823659784356,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
60,94.03067915752845,21.467079751094765,115.49775890862321,0.0637795790108116,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
61,2,6,8,0.03748936143072759,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
62,0,1,1,0.004735712883020854,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
63,90.4953305645995,11.923596432005603,102.41892699660511,0.04254243922565329,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
64,12.255463960708969,11.374674621810971,23.63013858251994,0.07535702482652312,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
65,0,1,1,0.03904021757257636,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]"
66,142.53371927880144,15.967722735174988,158.50144201397643,0.09838271974625473,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
67,41.926116301491895,6.188327467871366,48.11444376936326,0.057665721581390245,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]"
68,0,6,6,0.032308320978634925,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]"
69,28.158001822672304,13.9271417773996,42.0851436000719,0.09105556580498714,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
70,40.665405886624285,24.27606150289811,64.94146738952239,0.09279656444181544,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
71,7,2.2070607323734444,9.207060732373444,0.08639124176382101,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
72,431.45206615086863,57.616898410432285,489.0689645613009,0.015479076297978539,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
73,13.56038491552724,3.119378658415079,16.67976357394232,0.0836220624693163,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
74,0,2,2,0.08761451071919729,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
75,0,1,1,3.050373372967541e-05,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
76,0,3,3,0.07787405713251566,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
77,63.181261319140354,21.194234936579065,84.37549625571941,0.08332505119879968,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
78,0,2,2,0.03512315941448099,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]"
79,0,9,9,0.03126254526036745,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
80,3,4,7,0.04790106742117964,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,34.18003414930174,24.054209793869298,58.23424394317104,0.007920025499283306,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
82,135.42409109506465,81.54621132176378,216.97030241682842,0.09581917601932338,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
83,5.0037805329843446,2,7.0037805329843446,0.06301367360612004,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
84,0,1,1,0.032097270691360064,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]"
85,37.13476966267548,31.390552623141083,68.52532228581657,0.05966300210300096,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
86,0,1,1,0.01046160768877416,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
87,0,2,2,0.03418770528134277,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]"
88,22.09933606485529,5.3005101991084995,27.399846263963788,0.08921168513456498,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
89,13.313299082757675,19.284894128828757,32.598193211586434,0.0633869371976527,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
90,27.119210318615877,11.198408620017464,38.317618938633345,0.01253934882566135,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1]"
91,1,6.023441923400028,7.023441923400028,0.03532620287417623,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]"
92,1,4,5,0.058248235869478415,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]"
93,3.0152772463652155,2,5.0152772463652155,0.07787217897988016,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
94,42.423445401904004,18.568262508222595,60.9917079101266,0.05816155778101534,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
95,15.36964359605859,6.225762600485303,21.595406196543895,0.0700735785467475,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
96,14.018138509889006,20.10849707673127,34.126635586620274,0.08157556316247089,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]"
97,7.0047864093563526,6.034796338244346,13.039582747600699,0.012170067576642324,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0]"
98,0,1,1,0.04075926838005664,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
99,39.08412595429428,37.72639708107777,76.81052303537206,0.09072434556420178,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]"
100,50.060845631161065,12.561397193881511,62.622242825042576,0.01936159735071366,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
101,451.4792522932097,94.10982219820806,545.5890744914177,0.057317661381730944,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
102,10,18.096425061508704,28.096425061508704,0.015715640848355777,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
103,17.13502161640773,24.761124958521854,41.89614657492959,0.055347593476509915,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
104,0,1,1,0.08764152691617752,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
105,261.90203188606137,20.304800097398548,282.2068319834599,0.03427623337588273,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
106,22.025116292073413,15.419586238489023,37.44470253056244,0.07896136282268917,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
107,0,1,1,0.024405467151049992,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]"
108,17.486667575548843,9.330615323233381,26.817282898782224,0.05739824247835906,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]"
109,24.091620178015297,6.030926189252493,30.12254636726779,0.006647276595310309,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
110,48.31276755699079,10.464865428220355,58.77763298521115,0.09118216796679773,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]"
111,48.247989603401905,11.98361927468166,60.23160887808356,0.07799926612137137,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
112,136.6482301003301,28.117171520150297,164.7654016204804,0.045183836735951305,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
113,399.5885073808711,159.8355679439226,559.4240753247936,0.02486082222241906,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]"
114,15.060292859877254,3.0782172884130867,18.13851014829034,0.016859241821499643,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1]"
115,0,1,1,0.05261260494237757,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]"
116,0,4,4,0.01745650391166717,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
117,1,2,3,0.018102017420464495,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
118,35.041221424708255,12.278923756583737,47.32014518129199,0.07173005278466366,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
119,0,1,1,0.009075719325048609,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]"
120,0,1,1,0.06606072079251074,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
121,77.75949722533937,23.04183865033373,100.8013358756731,0.09396784147582957,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
