nid,Is,Os,S,V,D
0,86.24282509315681,9.34797789386909,95.5908029870259,0.5743290072562302,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,69.71924273759177,29.0108171773782,98.73005991496997,0.6703056825679657,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,48.43083869154738,17.33281392167883,65.76365261322621,0.5913181910585834,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,43.88486070850519,26.06160555952746,69.94646626803265,0.9044616081220443,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,77.66777471444405,14.559047676422976,92.22682239086703,0.09873337113601666,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,60.476520012610614,11.38590843513363,71.86242844774424,0.0856840272180045,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,19.36569254847045,7.307624776999893,26.673317325470343,0.4357673907838092,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,44.7724711770175,20.645368462400455,65.41783963941796,0.621039969723108,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,61.46118660486118,2.1551495727649295,63.61633617762611,0.2585826212748821,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,0,1,1,0.09678785455592204,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1]"
10,0,13.054325619054763,13.054325619054763,0.06297889837621401,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
11,0,4,4,0.05651464422250818,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
12,1284.8895095552948,43.98286236328735,1328.872371918582,0.020232063155131513,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]"
13,0,2,2,0.09514668296864809,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
14,0,427.7151768948757,427.7151768948757,0.09242530389633813,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
15,0,1,1,0.0051195242088709625,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
16,0,9,9,0.09693198705251999,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
17,0,1,1,0.025485889773108478,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
18,125.82318044267515,36.14261467741025,161.9657951200854,0.02898470884376228,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
19,51.22920661687459,79.22213277123177,130.45133938810636,0.09041814873149695,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
20,0,1,1,0.08578756891968914,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
21,0,1,1,0.06917681597986233,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
22,6986.7970563465615,1058.250245350778,8045.047301697339,0.08829000676227666,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
23,1088.1618256281733,118.90785999435958,1207.069685622533,0.07075530158867843,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1]"
24,177.831898255361,30.195477197988335,208.02737545334935,0.0255856613608344,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
25,2660.40729408341,407.1882153092642,3067.595509392674,0.06624384560703372,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]"
26,41.349627075133654,30.95713824830004,72.3067653234337,0.07418913707565017,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
27,1356.295045830885,52.73220645394932,1409.0272522848345,0.06572053967600006,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
28,0,3,3,0.0664140827054176,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
29,0,1,1,0.07047343193434019,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
30,0,2,2,0.006119442913316925,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
31,261.17509636833336,71.11534701981543,332.2904433881488,0.09748172438130792,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1]"
32,0,2,2,0.030194786501281212,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
33,0,4,4,0.02591504362268529,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1]"
34,0,1,1,0.0007729120795001432,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
35,71.57089882163224,35.936408817357744,107.50730763898999,0.04484570126086221,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
36,111.96789248896778,7.60374074048047,119.57163322944825,0.03781446563210625,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]"
37,4,7.028112357691497,11.028112357691498,0.011171568806762872,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
38,749.4162536084116,117.72896408142343,867.145217689835,0.004900800608546502,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1]"
39,117.14364058330071,17.31914663048696,134.46278721378766,0.06852609491046874,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]"
40,365.25426622348033,46.239097719018105,411.49336394249843,0.06955822843054199,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
41,226.05065023271135,264.76496074392975,490.8156109766411,0.02669598375949847,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
42,490.1672328628759,114.14824659412876,604.3154794570047,0.0933837783600236,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
43,2618.7387153905615,254.75402502702318,2873.4927404175846,0.033218833126721053,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
44,37.00039402084303,28.530002247065163,65.5303962679082,0.07630744158683983,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
45,4.000980160121709,13.065327336664934,17.066307496786642,0.08066489393462523,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
46,0,2,2,0.028916727688759997,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
47,0,1,1,0.008797772063287718,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
48,282.0634154107872,11.85633005276189,293.9197454635491,0.013598051853145027,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
49,0,2,2,0.03215037910862828,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
50,8.004532683951048,5.008191052419742,13.012723736370791,0.011846897551320762,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
51,15.256742521438884,6.139312531239587,21.39605505267847,0.0777267110034075,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
52,0,1,1,0.08336426767320854,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
53,15.042975621833051,13.807804840131364,28.850780461964415,0.09720404732406338,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
54,0,5,5,0.004028614350506304,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
55,604.021866158231,31.537496875118975,635.55936303335,0.031015053027234202,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1]"
56,50.22378266778697,27.33830659114821,77.56208925893517,0.04258250580741377,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
57,0,5,5,0.007199330882887517,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
58,0,5,5,0.0055944977773587645,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
59,1,6,7,0.05852926511676265,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]"
60,99.65396029541199,16.51534913154495,116.16930942695694,0.07122564943621107,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
61,0,24.095146260960423,24.095146260960423,0.03298485022969558,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1]"
62,0,6,6,0.036475278723487325,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
63,0,4,4,0.06072602164598745,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]"
64,4,3,7,0.04409517729773152,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
65,0,7,7,0.09076887295620922,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
66,388.0690745681064,74.46614934895607,462.53522391706247,0.0842757956401971,"[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
67,6,18.066018383782673,24.066018383782673,0.019119645636993116,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
68,10,10.43079079420598,20.43079079420598,0.08111677062571027,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
69,0,13,13,0.03205299088572772,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
70,0,6,6,0.0005749296839664686,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
71,497.6815274769056,107.57374768967435,605.25527516658,0.09499952906504122,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
72,357.07510270375144,37.508482489512495,394.58358519326396,0.07860410051009253,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
73,0,3,3,0.0315864299035519,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
74,0,1,1,0.060353424263003136,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]"
75,20.144789933399956,34.09966620792426,54.244456141324214,0.07647282746731293,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
76,0,1,1,0.009398897282722918,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
77,0,1,1,0.07572228586716298,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
78,593.8434437582944,153.2876025802748,747.1310463385691,0.06282786020636283,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 1]"
79,12.044676074044355,36.71261106520181,48.757287139246166,0.05380090034670809,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
80,401.2454617945036,120.37606614265384,521.6215279371575,0.09112501656939948,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
81,157.0165316839902,31.192702695593177,188.20923437958336,0.04964214546012105,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
82,0,2,2,0.01312661977191501,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]"
83,26,14.375167716393848,40.37516771639385,0.04771152058069861,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1]"
84,0,3,3,0.0003702926329721967,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]"
85,299.4461010250844,204.58376387341664,504.02986489850105,0.06312741899498259,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
86,0,1,1,0.029873569316465787,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]"
87,6,2.0493048265419507,8.04930482654195,0.019125447424780756,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
88,5,3,8,0.019002897500258326,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
89,7.011835070298543,8.045058567055497,15.05689363735404,0.02680179641318728,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
90,0,1,1,0.010583807631540737,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]"
91,30.048995409787167,13.548540504806725,43.59753591459389,0.05718373942864324,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 1]"
