from,to,w
0,1,2.1003719882178986
0,406,1.2793882937543368
1,0,2.203967200679084
1,2,2.99189646891237
1,429,1.244681595717464
1,528,1
1,665,1
1,835,1
2,1,3.019551378414959
2,3,1.7472609342279186
2,321,1.399426188451833
2,429,1
2,878,1
3,2,1.6097049721058558
3,4,1
3,264,1.526410056763479
3,276,1
3,483,1
4,3,1
4,5,1.0074176657656482
4,244,1.0061813881380401
5,4,1.169607980793991
5,6,1.2544119711909865
6,5,1.0152239187733003
6,7,1
7,6,1
7,8,1
7,375,1
8,7,1
8,9,1.3002492913804007
9,8,1.2543516550089278
9,10,1.564971482637544
9,270,1
10,9,1.79623813346518
10,11,1.9843915549979048
11,10,1.7846636036096726
11,12,1.701412608646631
12,11,2.235777903853269
12,13,1.4961858722725665
13,12,1.0755890069279996
13,14,1
13,719,1
14,13,1
14,15,1
14,394,1
15,14,1
15,16,1
16,15,1
16,17,1.5670566737247307
17,16,1.5683995034983793
17,18,1
17,703,1
17,877,1
18,17,1
18,19,1
19,18,1
19,20,1
20,19,1
20,21,1
21,20,1
21,22,1
22,21,1
22,23,1.7887167911783204
23,22,1.5319159044666224
23,24,1
24,23,1
24,25,1.0163811854257951
24,482,1
25,24,1.0084404695758082
25,26,1
26,25,1
26,27,2.1293410139184457
26,482,1
27,26,1.6497837845219188
27,28,1.801726470498792
27,446,1
28,27,1.865654073220432
28,29,1.4231912070181334
28,263,3.069654405962358
28,317,1.2777192296056499
28,451,1
28,471,1
28,987,1
29,28,1.078011181061572
29,30,1
29,273,1
30,29,1
30,31,1.2525515773559084
31,30,1.4023718704123402
31,32,1
31,273,1
31,402,1
32,31,1
32,33,1.1042060714989064
32,213,1
32,359,1
33,32,1.160323142984588
33,34,1.325477146264928
33,282,1
33,359,1
33,370,1.1425094604307449
34,33,1.224086720309712
34,35,1.1349757469686816
34,213,1.0976245996258527
35,34,1.3940800211387827
35,36,1.3436645153935056
35,359,1
35,886,1
36,35,1.421312065884462
36,37,2.5614961931664473
36,218,1
36,723,1
37,36,2.252351944331266
37,38,1.364007353026023
38,37,1.6801135234849454
38,39,1
38,213,1
39,38,1
39,40,1
39,452,1
40,39,1
40,41,1
41,40,1
41,42,1.2614535282555257
41,330,1.187877619437602
42,41,1.4530697804642554
42,43,1
43,42,1
43,44,1
44,43,1
44,45,1
44,210,1
45,44,1
45,46,1.535039769489273
46,45,1.496434384226072
46,47,1
47,46,1
47,48,2.4091568822070455
48,47,1.212780093174928
48,49,1
49,48,1
49,50,1
50,49,1
50,51,1
51,50,1
51,52,1
51,340,1
52,51,1
52,53,1
53,52,1
53,54,1.5223312813925736
53,342,1
54,53,1.237974384987595
54,55,1.2433294700787687
55,54,1.6638125579486993
55,56,1
56,55,1
56,57,1
56,342,1
57,56,1
57,58,1
58,57,1
58,59,1.6082400763970224
59,58,1.9496003347584507
59,60,1.5026397314020994
59,732,1
60,59,1.3293536409110094
60,61,1.2451168435799302
61,60,1.1040061150908957
61,62,1.0973550139743966
61,234,1.0783398626533918
61,445,1
62,61,1.3058303242495022
62,63,2.5811729307957814
63,62,1.25637197828961
63,64,1
64,63,1
64,65,1
65,64,1
65,66,1
66,65,1
66,67,1.682568825002566
66,275,1.330795979681875
67,66,1.270350726077914
67,68,1.9014987602739837
67,221,3.13787603386044
67,306,1
68,67,2.4710005555241548
68,69,1
68,356,1.4541106439803542
68,469,1.3158864108194561
68,478,1
68,583,1
68,712,1
69,68,1
69,70,1
69,201,1
69,261,1
69,285,1.3625184856536605
69,475,1
70,69,1
70,71,1
70,285,1
71,70,1
71,72,1.8620194513319812
72,71,1.0065778574576771
72,73,1.0030678141285727
73,72,1.103071272152235
73,74,1.0830764296811541
73,396,1
74,73,1.5318813355699865
74,75,1.453276616073466
74,241,1
75,74,1.2340102430741215
75,76,1
75,327,1
75,396,1
76,75,1
76,77,1
76,241,1
77,76,1
77,78,1
78,77,1
78,79,1
79,78,1
79,80,1
80,79,1
80,81,1
81,80,1
81,82,1
82,81,1
82,83,1
83,82,1
83,84,1.1979597732410485
84,83,1.1440348928775692
84,85,1.099966904436561
85,84,1.4053574235440953
85,86,1.7938082573486676
85,206,1.2041288909257828
85,259,1
85,381,1
85,659,1
86,85,1.2309983070293475
86,87,1.3653710563872643
86,340,1.1563483377351378
86,614,1
87,86,1.5905766190632065
87,88,1.5702112488356954
88,87,1.3941714947660382
88,89,1
89,88,1
89,90,1.4818268859219785
90,89,2.5729425179863514
90,91,1
90,263,1.8680311175645143
90,884,1
91,90,1
91,92,1.5571968412123107
91,357,1
91,485,1
91,697,1
91,731,1
92,91,1.1427428646769175
92,93,1.1586031829743528
93,92,1.2829609858503825
93,94,1
94,93,1
94,95,1
94,263,1.6537158465971344
95,94,1
95,96,1
96,95,1
96,97,1
97,96,1
97,98,1
98,97,1
98,99,1
99,98,1
99,100,1
100,99,1
100,101,1.4764533115266745
100,237,1.3134034481153751
101,100,1.358972151005936
101,102,1.4402587588913245
101,246,1.2393147673372908
102,101,1.3631690663121796
102,103,2.397657442656166
102,230,2.1522560468604617
103,102,2.8124387454408653
103,104,2.2484987602116435
103,335,1.4592575291210885
103,350,1
103,443,1
103,893,1
104,103,1.2258012154748634
104,105,1.086934643155922
105,104,1.3885979177154075
105,106,1.341434740799402
106,105,1.2009140560545153
106,107,1.1913467200519192
107,106,1.6623368827600173
107,108,1
107,249,1
108,107,1
108,109,1
109,108,1
109,110,1
110,109,1
110,111,1
111,110,1
111,112,1
112,111,1
112,113,1.2761625281837365
113,112,1.0986031964043192
113,114,1
114,113,1
114,115,1.2169320752511992
114,260,1
114,262,1
114,301,1
115,114,1.183710750044709
115,116,1.2571950500625926
116,115,1.3082692914859293
116,117,1
116,260,1.3564053617127922
116,301,2.433311454659601
116,760,1.171260717492183
116,936,1
117,116,1
117,118,1.5484718530887815
118,117,1.4235775730400348
118,119,1
118,565,1
119,118,1
119,120,1.1166589796081048
119,260,1.248245594700133
120,119,1.31570680260757
120,121,1
121,120,1
121,122,1.5646265980578402
122,121,1.280625691714869
122,123,1.5341834687678155
122,238,1
123,122,1.3983397980688363
123,124,1.2145975707217151
123,846,1
124,123,1.3063342550587964
124,125,1
125,124,1
125,126,1
125,467,1
126,125,1
126,127,1
127,126,1
127,128,1.5614778873455966
128,127,1.4891028998891847
128,129,1
128,576,1
129,128,1
129,130,1
129,297,1
130,129,1
130,131,1
130,212,1.2711831349701348
130,217,1
131,130,1
131,132,1
131,212,1.0044836741799053
131,730,1
132,131,1
132,133,1.1555696181491188
133,132,1.0304098611589805
133,134,1
134,133,1
134,135,1
134,257,1
135,134,1
135,136,1
136,135,1
136,137,1.0526163111034033
136,705,1
137,136,1.5751746516380165
137,138,1
137,225,1.4260552975096419
137,311,1
137,370,1
137,532,1
137,700,1
138,137,1
138,139,1.253467779878228
138,221,2.657412782943344
138,225,1
138,254,1
138,286,1
138,444,1.1408154332656824
138,529,1
139,138,1.2714183533428025
139,140,1.9124741939611645
139,275,1.317361725010398
140,139,2.147884691240738
140,141,1
141,140,1
141,142,1.5810275613491669
142,141,1.0404042375787654
142,143,1
143,142,1
143,144,1
144,143,1
144,145,1.3096176767302625
145,144,1.1990006902734214
145,146,1
146,145,1
146,147,1.3891678237019938
147,146,1.1198505975736428
147,148,1
148,147,1
148,149,1
148,214,1
149,148,1
149,150,1
150,149,1
150,151,1
151,150,1
151,152,1
152,151,1
152,153,1.0905612173521324
153,152,1.230363977503262
153,154,1.230363977503262
154,153,1.08619482729886
154,155,1
155,154,1
155,156,1.0552865463495156
155,414,1
155,447,1
156,155,1.555495066181307
156,157,1
157,156,1
157,158,1
158,157,1
158,159,1
159,158,1
159,160,1.2872624937811974
159,320,1
159,701,1
160,159,1.0757947664647811
160,161,1.0909537197577373
161,160,1.007445301204168
161,162,1
162,161,1
162,163,1.1355635260068175
163,162,1.5503718556978283
163,164,1
163,211,1
163,220,1
163,921,1
164,163,1
164,165,1.0225538680319828
164,316,1
164,772,1
165,164,1.2637703266545008
165,166,1
166,165,1
166,167,1
166,202,1.0049908096021292
166,434,1
166,530,1
167,166,1
167,168,1
167,202,1
168,167,1
168,169,1.2042681403902453
168,434,1.0849651037071468
169,168,1.7842902743353672
169,170,2.2831866635510236
169,369,1
170,169,1.1270484072499982
170,171,1.0431204689695668
170,400,1
170,691,1
171,170,1.3893611902180498
171,172,1.4350443729370939
172,171,1.1648820243594318
172,173,1.2922133806986904
172,202,1.114070186839275
173,172,1.8602557609325459
173,174,2.0797962497985756
173,424,1
174,173,1.9912937848584933
174,175,2.1019615187278107
175,174,1.1636868780490797
175,176,1.2146470389439197
176,175,1.3072827108554803
176,177,1
176,680,1
177,176,1
177,178,1.725628147388991
178,177,1.7065867302652848
178,179,1.2232864730658215
179,178,1.524826795537285
179,180,1
179,274,1.3438109325073837
179,395,1.4142434432766535
180,179,1
180,181,2.2004014193272727
181,180,2.0608368480962604
181,182,1
182,181,1
182,183,1
182,817,1
183,182,1
183,184,1
184,183,1
184,185,1
185,184,1
185,186,1
186,185,1
186,187,1
187,186,1
